names,dates,comments,inferred_gender
Reviewer_79,2025-04-18 13:12:00,Chicken mango chutney and cucumber delicious!!!!,female
Reviewer_80,2025-04-18 12:35:00,A croissant with Nutella and fresh strawberries,female
Reviewer_81,2025-04-18 11:18:00,"This coming Easter I'm going to get started on a festive croissant. I'm going to fill it with a creamy lemon-mascarpone filling and mix in some of the AH Excellent Easter Egg Mix for extra crunch and a sweet touch. Then I'll finish the croissant with pastel icing and some cute sugar flowers. Add some edible gold flakes for luxury and the croissant is ready! To top it off, I'll place some small chocolate eggs around it. This will be the perfect, cheerful start to a colorful Easter!",female
Reviewer_82,2025-04-18 10:58:00,"We always make a party of croissants with the kids. We make 2 variations: They can make their own buttercream (AH baking party) and then we add a little coffee with pieces of hazelnut and white chocolate: the moccassant. The other variation is to pipe a layer of buttercream nicely, fresh or frozen raspberries on top and pieces of white chocolate over it. Hmmm!",unknown
Reviewer_83,2025-04-18 08:44:00,The tastiest is a fresh lukewarm croissant with a thick layer of butter and (fresh) strawberry jam.,female
Reviewer_84,2025-04-18 08:43:00,I prefer to eat them with Paturain,unknown
Reviewer_85,2025-04-18 08:40:00,What delicious variations I see passing by here but I prefer to eat my croissant without anything on it or with a little bit of butter! delicious because a good croissant needs nothing to be tasty :),female
Reviewer_86,2025-04-18 07:52:00,"I see a lot of reactions, but not this one. I don't really eat croissants, not even when I'm on holiday in France. But...….. Pay attention.",male
Reviewer_87,2025-04-18 07:44:00,Delicious with brie and honey. Slices of tomato and cucumber.,female
Reviewer_88,2025-04-18 06:37:00,"The tastiest topping is of course a nice pure sprinkle, but only when it is still warm, because then it melts nicely in! A chocolate roll is nothing compared to it.",unknown
Reviewer_89,2025-04-17 21:53:00,"I like to put cheese, chicken fillet and egg on it",male
Reviewer_90,2025-04-17 21:24:00,"I top my croissant with delicious herb cheese, spread thickly.",female
Reviewer_91,2025-04-17 21:13:00,"I have always been a big fan of French toast and I like to prepare my croissants like that too! Cut the croissant horizontally, dip it in a mixture of milk, egg and cinnamon and bake it briefly in a pan with butter. Then top it with mascarpone and strawberries or just a layer of sugar. The new AH Pistachio spread also goes well with it. Croissanté!",female
Reviewer_92,2025-04-17 21:09:00,Croissant wrong,male
Reviewer_93,2025-04-17 20:37:00,I love to top my croissant with nutella and fresh strawberries. Highly recommended!,female
Reviewer_94,2025-04-17 20:32:00,"Oh yummy a croissant with cottage cheese and strawberries, nice and fresh and sweet and not even that unhealthy! and if we do something yummy ""wrong"" we spread a layer of butter on it and sprinkle sugar over it!",female
Reviewer_95,2025-04-17 20:10:00,"Of course I prefer to eat a tompouce croissant or a cronaantje, but if I do top it myself, I prefer to add a layer of butter and chocolate sprinkles or delicious jam!",female
Reviewer_96,2025-04-17 19:23:00,"My ultimate croissant topping? A thick layer of whipped salted butter, followed by a swirl of passionfruit curd and as a finishing touch: crumbled caramel sea salt fudge. Soft, salty, sweet and a little sultry – just like a French spring day at its best.   ✨",male
Reviewer_97,2025-04-17 19:16:00,"We like to make a deliciously sweet croissant pastry. Prepare a bag of pastry cream with whipped cream instead of water, spray a layer of it in the croissant and then add fresh strawberries.",unknown
Reviewer_98,2025-04-17 17:09:00,Brie and honey on my croissant delicious. I take a bite and immediately start speaking French,female
Reviewer_99,2025-04-17 17:03:00,"A croissant, fresh from the oven with some Lindt chocolate. Let it melt and then enjoy",female
Reviewer_100,2025-04-17 16:52:00,"My favorite croissant is a tiramisu croissant! Cut open a luxury croissant, top with mascarpone, ladyfingers that you first dip in a mixture of coffee and caramel syrup and to finish it off sprinkle with cocoa powder.",female
Reviewer_101,2025-04-17 16:43:00,I prefer to eat it with a frikandel. Just like a frikandel roll but French style. Je mappel frinkandelcroissant,male
Reviewer_102,2025-04-17 16:27:00,"Best with smoked salmon, cream cheese and freshly cut chives (replace chives with wild garlic during the season)",male
Reviewer_103,2025-04-17 16:02:00,I have quite a few ideas to make the croissantburn even more delicious. And I really like the pretzel croissant. I would like to win this beanbag for my sweet neighbor boy Novan of 4 years. Because this boy loves croissant and cuddly toys,female
Reviewer_104,2025-04-17 15:23:00,"I enjoy my warm croissant best with a delicious layer of brie and a touch of honey. But honestly, the croissant doesn't need much, because even without topping it is already delicious!",female
Reviewer_105,2025-04-17 15:03:00,"Heat the croissant with a slice of cheese in the air fryer, then top with some cucumber slices for a deliciously fresh meal",female
Reviewer_106,2025-04-17 15:02:00,"Nothing at all, because I don't eat croissants.",male
Reviewer_107,2025-04-17 14:41:00,"Summer croissant: Fresh from the oven, thin slices of strawberry with a thin layer of vanilla custard or vanilla protein pudding. And for the real show-offs you can mix the custard with mascarpone <3",male
Reviewer_108,2025-04-17 14:22:00,"Heat it up in the oven, fill it with Brie and when it comes out of the oven, add some wild flower honey from AH, it tastes really good",male
Reviewer_109,2025-04-17 13:35:00,"I top my croissant with pesto, mozzarella and tomato and then I put it in the oven. Then I add some basil. Very tasty!!!",female
Reviewer_110,2025-04-17 13:31:00,"Butter, spread nice and thick and then white caster sugar, also nice and generous.",male
Reviewer_111,2025-04-17 13:25:00,"Fresh croissant with pastry cream and fresh strawberries, delicious!",female
Reviewer_112,2025-04-17 12:51:00,I love a croissant with brie and a little honey on top,male
Reviewer_113,2025-04-17 12:45:00,I always top my croissant with cherry jam!,female
Reviewer_114,2025-04-17 11:55:00,I prefer to top my croissants with filet american bacon mayonnaise and fried onions,male
Reviewer_115,2025-04-17 11:50:00,"My favorite, just nice and simple, topped with butter with strawberry jam and sometimes with a slice of cheese for a change. But here at home the favorite is mini-croissant with crushed mice or pure chocolate sprinkles.",female
Reviewer_116,2025-04-17 11:46:00,dark chocolate plus a little sea salt and peanuts,male
Reviewer_117,2025-04-17 11:35:00,Delicious with strawberry jam,male
Reviewer_118,2025-04-17 11:27:00,Croissant in a baguette is my go to,male
Reviewer_119,2025-04-17 11:10:00,Delicious with a slice of cheese and strawberry jam and my kids with fresh strawberries and sugar mmmmm delicious,female
Reviewer_120,2025-04-17 10:11:00,with a nice slice of cheese,female
Reviewer_121,2025-04-17 09:57:00,My daughter and I eat our croissant with butter and sugar.,female
Reviewer_122,2025-04-17 09:56:00,"On a croissant that is preferably still a little warm, top it with white chocolate spread and then some fresh raspberries.... soooo the enjoyment starts now",female
Reviewer_123,2025-04-17 09:38:00,"I prefer my croissant with Nutella, but spread it on the bottom of the croissant instead of cutting the croissant open. This keeps the shape of the croissant better.",male
Reviewer_124,2025-04-17 09:08:00,The very very best thing on a delicious lukewarm croissant is delicious AH butter with the most delicious chocolate sprinkles from AH with the Zaanse houses or the hamsters! and then eat it with the family on a lovely Sunday morning in the sun....that is.....the ultimate croissant experience :-),male
Reviewer_125,2025-04-17 07:06:00,"I prefer to have my daughter top my croissant with butter and jam, while I sit and wait lazily with my big bottom on the super croissant beanbag.",female
Reviewer_126,2025-04-16 22:38:00,"I love to top my croissant with a combination of creamy brie, fresh figs and a touch of honey. The soft texture of the brie, the sweetness of the figs and the subtle flavour of the honey create a heavenly taste experience that makes every morning special",unknown
Reviewer_127,2025-04-16 21:27:00,"Young cheese with syrup, very tasty  ",female
Reviewer_128,2025-04-16 20:41:00,Fill with homemade Swiss cream and top with fresh strawberries ;),female
Reviewer_129,2025-04-16 19:10:00,"I love a croissant with a layer of marshmallow fluff and lemon curd on top, deliciously sweet and fresh!",female
Reviewer_130,2025-04-16 18:59:00,cheese and ham,male
Reviewer_131,2025-04-16 18:21:00,Top a croissant with chili smoked cheese and a fried sunny-side-up egg with chili flakes on top.,female
Reviewer_132,2025-04-16 17:40:00,Croissant French toast with lemon curd or red fruit compote and of course a little icing sugar for the looks!,female
Reviewer_133,2025-04-16 17:27:00,"My favorite croissant topping? Lightly salted butter, thin slices of smoked salmon and a dollop of horseradish cream. Topped with some fresh dill. Fresh, creamy and a bit of luxury just what a croissant deserves :)",female
Reviewer_134,2025-04-16 17:21:00,"My ultimate croissant is topped with white chocolate spread, fresh raspberries, crackling sticks and a touch of mint. But if I want to reach my protein goal, I add peanut butter with banana and a little chia seed.",female
Reviewer_135,2025-04-16 16:31:00,"Our Croissant at home (topped Italian style), with green pesto, rocket, raw ham (prosciutto crudo), mozzarella and fresh cherry tomatoes... A delicious aperitif on the side and you'll feel like you're in La Bella Italia!",female
Reviewer_136,2025-04-16 16:30:00,"if there has to be something on it, then a slice of cheese with some chocolate sprinkles.",male
Reviewer_137,2025-04-16 16:25:00,"croissant with siu mai (shumai, Chinese dumplings)",male
Reviewer_138,2025-04-16 15:42:00,Cut it open and put paprika chips in between.,male
Reviewer_139,2025-04-16 15:37:00,"I like my croissant best with a layer of tuna salad on top. That sounds crazy but it's really true, delicious. I thought a while ago: let me try that, and it was not bad.",male
Reviewer_140,2025-04-16 15:06:00,"Do not cut it open, but spread the bottom with butter and delicious strawberry jam",female
Reviewer_141,2025-04-16 15:04:00,"A layer of mascarpone, fresh strawberries and a drizzle of honey. Simple, sweet and a bit summery   ☀️  ",female
Reviewer_142,2025-04-16 14:40:00,Topping a croissant? Are you crazy :) you eat this plain,male
Reviewer_143,2025-04-16 14:23:00,"Croissant with prosciutto, pear and balsamic cream;",male
Reviewer_144,2025-04-16 14:18:00,"Delicious with smoked salmon, lettuce and herb cream cheese.",female
Reviewer_145,2025-04-16 14:16:00,Brie with Filet Americain,male
Reviewer_146,2025-04-16 13:55:00,"Jam, Cranberry paste, Speculoos all three on top of each other mmmmmm",female
Reviewer_147,2025-04-16 13:46:00,"Crunch and cream croissant: a croissant filled with cheesecake cream, raspberry jam, then topped with chopped AH Easter eggs and speculaas crumbs",female
Reviewer_148,2025-04-16 13:44:00,"with butter, a slice of young cheese and then in the oven for a while... delicious",male
Reviewer_149,2025-04-16 13:18:00,"My ultimate croissant topping? A layer of salted butter, a swirl of lemon curd for that fresh kick, and topped with a sprinkle of grated white chocolate. Sweet, sour, creamy – every bite is a mini-vacation in the South of France. Extra special to me, because my son was born in France… my own little croissant!",unknown
Reviewer_150,2025-04-16 13:04:00,"Croissant with fried duck liver, Pata Negra, Savora mustard and fig ice cream.... once had it in a restaurant, it was fantastic!",male
Reviewer_151,2025-04-16 12:59:00,"For me, a delicious gluten-free croissant with spreadable cheese, chocolate spread with a grain of coarse sea salt or with a thick layer of butter and chocolate sprinkles with hamsters!",female
Reviewer_152,2025-04-16 12:45:00,simply delicious with chocolate spread,female
Reviewer_153,2025-04-16 12:34:00,With butter,male
Reviewer_154,2025-04-16 12:30:00,I prefer to eat my croissant with veggie fenugreek cheese and egg salad. Mmmmm,female
Reviewer_155,2025-04-16 12:23:00,Also delicious with clotted cream and homemade strawberry jam for high tea ;),female
Reviewer_156,2025-04-16 12:06:00,"I like my croissant best with homemade strawberry jam and a creamy cheese on top (like a brie). Of course, it's best fresh out of the oven!",unknown
Reviewer_157,2025-04-16 12:01:00,"So nice! Croissant delicious with lotus speculoos, banana and cinnamon.",male
Reviewer_158,2025-04-16 12:00:00,croissant with chocolate spread is delicious but do you know what is even more delicious? croissants with jam and grated cheese. DELICIOUS,female
Reviewer_159,2025-04-16 11:51:00,Croissants with jam are the best :),female
Reviewer_160,2025-04-16 11:32:00,"Freshly baked croissant, delicious straight from the hand, but also delicious with fresh strawberries or strawberry jam!",female
Reviewer_161,2025-04-16 11:22:00,Croissant Camembert. What the heck??,male
Reviewer_162,2025-04-16 10:34:00,"The most delicious croissant is eaten with half a slice of extra mature Beemster cheese, a fried egg and slices of avocado!",unknown
Reviewer_163,2025-04-16 10:31:00,My daughters always want the luxury croissants because they are nice and big and then with sprinkles and then just warm them up in the oven! They then enjoy them.....,female
Reviewer_164,2025-04-16 10:21:00,With pastry cream on top :D,male
Reviewer_165,2025-04-16 10:18:00,or nothing on it or with peanut butter and chocolate sprinkles!!,female
Reviewer_166,2025-04-16 09:44:00,The ultimate topping for a croissant is pistachio paste with ice cream cone nuts!,female
Reviewer_167,2025-04-16 09:23:00,Delicious with strawberries and whipped cream,male
Reviewer_168,2025-04-16 09:22:00,Nice warm croissant with butter and jam mmm,female
Reviewer_169,2025-04-16 09:12:00,"Hot smoked salmon, cream cheese with chives and a few capers on a crispy croissant – ultimate Easter brunch vibes!",male
Reviewer_170,2025-04-16 09:07:00,topped with strawberry jam and cheese,male
Reviewer_171,2025-04-16 09:02:00,"topped with a delicious warm Van Dobben croquette, a layer of mustard on top and enjoy!",unknown
Reviewer_172,2025-04-16 07:44:00,"despite the butter in the croissant, a generous dollop of extra and homemade strawberry jam. Heaven",female
Reviewer_173,2025-04-16 07:13:00,just a nice croissant without toppings,female
Reviewer_174,2025-04-16 04:01:00,Personal? Delicious butter croissant with Albert Heijn Strawberry extra jam,male
Reviewer_175,2025-04-15 23:32:00,I personally think a croissant with jam is really great. Especially when you take a croissant straight out of the oven and then you combine it with some delicious jam. An absolute sensation.,unknown
Reviewer_176,2025-04-15 22:34:00,"I like to eat them plain and when they are still a bit warm, yum! What I like is to make a croissant carpaccio with truffle mayo, pine nuts, balsamic vinegar, parmesan cheese flakes and rocket   ",male
Reviewer_177,2025-04-15 22:06:00,A croissant with just plain butter and real honey!,female
Reviewer_178,2025-04-15 21:44:00,"A croissant is tasty enough on its own, nothing needs to be added! But if something has to be added, a slice of Zaanlander extra mature with a little strawberry jam. If I win it, I think my 2 Bernese Mountain Dogs will use it to lean against!",female
Reviewer_179,2025-04-15 21:37:00,Delicious with strawberries!,female
Reviewer_180,2025-04-15 21:14:00,"I always top my croissant with a homemade pistachio cream with nougatine nuts, this is a super tasty combination and I really recommend it to everyone :)",female
Reviewer_181,2025-04-15 20:54:00,"A croissant with cream cheese, salmon, cucumber, lettuce and a little bit of red onion with dill dressing is really the favorite here! My bonus son loves croissants and this beanbag would be super fun in his room!",female
Reviewer_182,2025-04-15 20:25:00,"Oh oh, the choice is huge! Already enjoying a croissant with only butter... But what did I discover today? Some melted Easter eggs caramel sea salt and poured them deliciously between my croissant! You don't know what you're missing :) yum!!",female
Reviewer_183,2025-04-15 20:24:00,I'm going for a croissant with Zaanlander young mature cheese and salami from the fresh produce department and slices of beef tomato and thin slices of cucumber...,female
Reviewer_184,2025-04-15 20:21:00,"I love to top croissants with fresh fruit and dates. It’s the perfect mix of buttery, sweet and juicy.",unknown
Reviewer_185,2025-04-15 20:10:00,Oohh that's a tough one   there are so many delicious things on it from jam to brie with walnut and honey,female
Reviewer_186,2025-04-15 20:03:00,"I like to top my croissant with custard and fresh strawberries, finished with a light dusting of icing sugar.",female
Reviewer_187,2025-04-15 19:56:00,"Deliciously topped with soft goat cheese, some honey on top and pieces of walnut and some rocket.",female
Reviewer_188,2025-04-15 19:31:00,"a croissant with pieces of Milka strawberry chocolate and Milka caramel chocolate, put it in the oven for a while and enjoy, but delicious for those with a sweet tooth",female
Reviewer_189,2025-04-15 19:27:00,Multi-seed croissant with cheese and cucumber is a favorite,unknown
Reviewer_190,2025-04-15 19:12:00,"I've been in love with the German singer Dennie Christian for 40 years, you'd think what does that have to do with anything, well I'd love to eat a delicious croissant with him and I don't care what's on it!!",female
Reviewer_191,2025-04-15 19:05:00,Pieces of brie on top with walnuts and honey on top,male
Reviewer_192,2025-04-15 18:40:00,A croissant with roast beef is really     ! And jam with sugar is also delicious on it,female
Reviewer_193,2025-04-15 18:30:00,Very cliché but still Zaanlander mature cheese   . With a little butter on top of course.,female
Reviewer_194,2025-04-15 17:49:00,Croissant Caprese Deluxe,female
Reviewer_195,2025-04-15 17:42:00,Sorry but a croissant without cheese? Impossible!,male
Reviewer_196,2025-04-15 17:35:00,A croissant with butter and chocolate sprinkles           ,female
Reviewer_197,2025-04-15 17:10:00,My children will definitely be happy with this.,male
Reviewer_198,2025-04-15 16:37:00,Belgians with captio spring onion broiled onion truffle maio pitoige mai lettuce and roast beef and then more spicy maio and olives and then preffect crozant,unknown
Reviewer_199,2025-04-15 16:33:00,"A croissant with salted caramel, roasted pecans and a thin slice of brie, very tasty!",unknown
Reviewer_200,2025-04-15 16:32:00,"I like to top my croissant with matcha cream, fresh strawberries and a touch of black sesame. Very nice exotic taste/combo recommend it to everyone :)",male
Reviewer_201,2025-04-15 16:30:00,"I don't put any toppings on the croissant, but I eat it the French way. Jam (preferably apricots) on the plate and I dip the croissant in it, or I put a little bit of Jam on the croissant with the knife.",male
